Name,Price,positive_ratio,total_reviews,Achievements,Metacritic_score,platform_count,is_free,Average_playtime_forever,Peak_CCU,Hours_watched,Avg_viewers,Peak_viewers,Streamers,watch_per_stream_hour,streaming_popularity,community_engagement,success
Forza Horizon 4,59.99,0.8903250650275368,137634,178,80,1,0,2518,7571,13104304,944.8421052631579,40152,247805,9.66871831952366,16.388451360139896,81.07622945629426,1
Oxygen Not Included,24.99,0.9649192234275339,85916,45,86,3,0,3574,7507,9482994,809.0625,44971,29720,35.88522623638173,16.06501075260642,76.08680013121807,1
DYNASTY WARRIORS 9,44.99,0.33850726552179655,9084,44,80,1,0,215,70,202739,302.0,7026,1786,15.368329290479078,12.21967964893639,52.07713189834777,0
DEVOUR,3.99,0.9185755150009979,45097,74,80,2,0,303,1457,9012655,1554.125,108766,119145,29.122494943032372,16.014140369718188,78.75957835092895,1
Silver Chains,24.99,0.7407407407407407,567,16,51,1,0,54,2,521623,702.0,26167,1029,155.47630402384502,13.164702300805986,41.57486935091374,0
Russian Fishing 4,0.0,0.7708839097385283,25127,148,80,1,1,3578,5848,4556934,445.2857142857143,13016,13408,16.811780591464494,15.332160806374267,61.81332205493347,0
Phoenix Point,24.99,0.7221052631578947,4275,47,74,2,0,426,542,1462113,1967.0,37599,1720,75.65131681067936,14.195393891628136,63.41456802258456,0
Mafia: Definitive Edition,39.99,0.8675746823852581,43685,43,80,1,0,638,1665,6481351,4482.5,181475,17704,50.263681977866874,15.684439688541056,89.83935692771236,1
Idol Manager,19.99,0.891726618705036,2780,102,73,3,0,669,102,1070246,1440.0,32469,784,202.92870686386044,13.883400020919872,57.679739796515676,1
American Truck Simulator,19.99,0.964393799594021,108380,80,76,3,0,3335,6087,3649378,642.25,47163,20490,26.319844217662542,15.110067574097434,74.96916113559723,1
Feign,4.99,0.9026595744680851,1880,20,80,1,0,600,123,940254,1307.0,51436,418,399.0891341256367,13.75390639405309,54.10579321818139,1
Necromunda: Hired Gun,39.99,0.6971569839307787,4854,48,80,1,0,568,179,793254,1103.0,55118,2650,56.37509771871225,13.583900012608684,59.47117817294628,0
Fallout: New Vegas,9.99,0.9646942284688995,160512,75,84,1,0,3044,5776,8945146,875.6428571428571,182517,63384,24.008271915745627,16.0066217085518,81.21921307919166,1
Darksiders Genesis,29.99,0.8349051715203648,9649,30,77,1,0,485,87,634741,854.0,25443,2514,40.68852564102564,13.360973896100342,61.939419723335206,0
Car Mechanic Simulator 2021,24.99,0.9566162040930755,14268,46,80,1,0,1991,1518,772477,1039.0,28784,4374,20.57963022165388,13.557358808384103,66.4536929955722,1
Syberia 3,29.99,0.514808362369338,3444,40,80,2,0,321,52,164992,229.0,26775,406,51.70542149796302,12.01365832774036,44.291411345324725,0
Jump King,12.99,0.9041923259118901,8444,48,80,1,0,312,144,36105258,2337.3809523809523,197554,55485,162.09379419330799,17.401949091363363,70.13553094650587,1
Rocket Arena,4.99,0.615713522180652,1871,42,80,1,0,321,1,716414,964.0,147718,3323,38.80268645398906,13.482014886972946,51.779854192347265,0
rFactor 2,7.99,0.8067427209262727,5873,25,80,1,0,3630,724,645424,897.0,62961,490,184.98824878188591,13.377664293517595,59.01385546219362,0
Tales from the Borderlands,19.99,0.9523751596618211,16441,35,80,1,0,753,15,232835,335.0,13971,792,74.15127388535032,12.358089622059273,56.470155230324096,1
Garry's Mod,9.99,0.9659309550937945,851330,29,80,3,0,10891,37574,51127071,983.3239436619718,138842,394943,31.099437525965836,17.749824699623357,94.10658820495104,1
SCUM,34.99,0.7450837483634989,74091,71,80,1,0,4646,10223,17107908,2921.375,217830,66421,29.755988450968797,16.655051429165855,89.48194498691062,0
UNO,9.99,0.7350236629803094,40781,0,80,1,0,321,820,7162731,705.5,193723,62518,67.4965228043724,15.784402030405515,69.64436544041972,0
Kindergarten,4.99,0.9574229691876751,5355,8,80,3,0,238,47,251621,349.0,33777,135,590.6596244131456,12.435683240367293,50.29605418271861,1
Tower Unite,19.99,0.9001521143900213,16435,506,80,1,0,2041,370,994658,233.5,52739,1644,193.2125097125097,13.810155243833174,52.97677294992063,1
NARAKA: BLADEPOINT,19.99,0.782826872314165,110999,40,71,1,0,7583,61338,31002872,1923.0454545454545,114871,175402,23.6312464556414,17.24959043557449,87.85206497347966,0
For The King,5.99,0.8898049109839735,28141,78,79,3,0,1334,893,3009554,1047.5,56517,9534,51.62805139553634,14.917302785264008,71.25528987026208,1
Mad Games Tycoon 2,24.99,0.9331444759206798,3530,72,80,1,0,2709,157,823687,1227.0,27159,361,337.43834494059814,13.62154709641239,58.1096507180716,1
Chowderchu,2.99,0.5892857142857143,56,11,80,1,0,289,0,170847,237.0,15249,32,1898.3,12.048529551299913,22.124670885121287,0
Killer Instinct,39.99,0.9184202940328625,3469,463,80,1,0,228,29,2256196,342.0,25372,19771,33.32342776120285,14.629191210482718,47.58865246781975,1
The Red Strings Club,14.99,0.9423916892928816,8471,19,80,3,0,296,13,198079,295.0,28221,196,301.49010654490104,12.196426268478369,51.466580631131706,1
Onimusha: Warlords,19.99,0.9321623258631133,1651,55,80,1,0,400,11,626683,421.0,120646,1909,72.76857872735718,13.348197705329971,44.79192948805476,1
